#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
Cytidine monophosphate N-acetylneuraminic acid-13C16	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	461.807891511	natural abundance corrected peak area	0	protein normalized	uMol/g	471.517782890956	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	2580.21277157	natural abundance corrected peak area	0	protein normalized	uMol/g	2519.70637852742	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	7153.58823019	natural abundance corrected peak area	0	protein normalized	uMol/g	7100.16263750432	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	1915.44037692	natural abundance corrected peak area	0	protein normalized	uMol/g	1881.38549784323	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	1319.43284592	natural abundance corrected peak area	0	protein normalized	uMol/g	1337.75681597976	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	470.848682919	natural abundance corrected peak area	0	protein normalized	uMol/g	474.343403399669	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	396.734599916	natural abundance corrected peak area	0	protein normalized	uMol/g	419.944969702009	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	2845.9737198	natural abundance corrected peak area	0	protein normalized	uMol/g	2924.28855494865	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C16	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	1944.77011316	natural abundance corrected peak area	0	protein normalized	uMol/g	2062.35912835295	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	396.231087553	natural abundance corrected peak area	0	protein normalized	uMol/g	405.762458736843	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	859.752687793	natural abundance corrected peak area	0	protein normalized	uMol/g	912.122212884599	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	357.271888415	natural abundance corrected peak area	0	protein normalized	uMol/g	346.267242448969	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	345.487924506	natural abundance corrected peak area	0	protein normalized	uMol/g	335.004420708788	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	364.777416868	natural abundance corrected peak area	0	protein normalized	uMol/g	464.607709178546	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	4292.99495858	natural abundance corrected peak area	0	protein normalized	uMol/g	4464.35444994673	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	724.429095348	natural abundance corrected peak area	0	protein normalized	uMol/g	758.915527487456	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	439.130192217	natural abundance corrected peak area	0	protein normalized	uMol/g	442.627636363192	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	3839.26251052	natural abundance corrected peak area	0	protein normalized	uMol/g	3840.18339783321	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C17	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	1069.58820159	natural abundance corrected peak area	0	protein normalized	uMol/g	1122.44150959194	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C18	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	1370.49090301	natural abundance corrected peak area	0	protein normalized	uMol/g	1370.08194482108	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C18	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	1375.65767444	natural abundance corrected peak area	0	protein normalized	uMol/g	1490.24144753494	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C18	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	1006.07555924	natural abundance corrected peak area	0	protein normalized	uMol/g	984.004822080998	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C18	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	1476.56711733	natural abundance corrected peak area	0	protein normalized	uMol/g	1571.28739740925	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C18	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	1734.40457956	natural abundance corrected peak area	0	protein normalized	uMol/g	1732.58400514911	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	22697.6112475	natural abundance corrected peak area	0	protein normalized	uMol/g	31328.9783970881	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	7523.46750249	natural abundance corrected peak area	0	protein normalized	uMol/g	12306.3532998768	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	727.757526250493	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	22059.2437975	natural abundance corrected peak area	0	protein normalized	uMol/g	28894.6179342089	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	654.068121369	natural abundance corrected peak area	0	protein normalized	uMol/g	2548.4603706829	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	19642.5262612	natural abundance corrected peak area	0	protein normalized	uMol/g	22262.961911949	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	59715.7543568	natural abundance corrected peak area	0	protein normalized	uMol/g	68896.2632011179	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	55958.9759754	natural abundance corrected peak area	0	protein normalized	uMol/g	81647.7596324564	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	10618.1685069	natural abundance corrected peak area	0	protein normalized	uMol/g	16940.4915100585	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	14382.0466158	natural abundance corrected peak area	0	protein normalized	uMol/g	16480.5091019717	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	7751.16929991	natural abundance corrected peak area	0	protein normalized	uMol/g	9495.74128489523	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	5440.80687368	natural abundance corrected peak area	0	protein normalized	uMol/g	6672.35596024731	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	10636.7762128	natural abundance corrected peak area	0	protein normalized	uMol/g	10327.0292630622	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	1838.00038386	natural abundance corrected peak area	0	protein normalized	uMol/g	2763.12194245942	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C2	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	9192.19092682	natural abundance corrected peak area	0	protein normalized	uMol/g	10425.0109068285	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	66815.7700987	natural abundance corrected peak area	0	protein normalized	uMol/g	59884.7275685826	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	48345.195773	natural abundance corrected peak area	0	protein normalized	uMol/g	41667.4632909107	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	9135.33168875	natural abundance corrected peak area	0	protein normalized	uMol/g	7625.33829998751	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	61164.2189011	natural abundance corrected peak area	0	protein normalized	uMol/g	54975.5920537491	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	15327.4224539	natural abundance corrected peak area	0	protein normalized	uMol/g	12940.7458005609	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	45974.3392829	natural abundance corrected peak area	0	protein normalized	uMol/g	41696.2927959644	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	188968.895643	natural abundance corrected peak area	0	protein normalized	uMol/g	167547.681754948	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	149091.88277	natural abundance corrected peak area	0	protein normalized	uMol/g	135003.417446438	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	75673.96652	natural abundance corrected peak area	0	protein normalized	uMol/g	64916.4418257454	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	33407.7816514	natural abundance corrected peak area	0	protein normalized	uMol/g	30334.1036104715	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	26342.4633659	natural abundance corrected peak area	0	protein normalized	uMol/g	23309.707139729	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	24717.9218606	natural abundance corrected peak area	0	protein normalized	uMol/g	21505.2349228732	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	27419.5034651	natural abundance corrected peak area	0	protein normalized	uMol/g	24551.7508476936	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	21544.2593766	natural abundance corrected peak area	0	protein normalized	uMol/g	18215.028925907	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C3	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	39284.230943	natural abundance corrected peak area	0	protein normalized	uMol/g	34217.0008752628	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	23254.3607574	natural abundance corrected peak area	0	protein normalized	uMol/g	30391.0584429394	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	2318.14461458	natural abundance corrected peak area	0	protein normalized	uMol/g	9706.05226177779	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	1074.63034514004	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	20117.4015348	natural abundance corrected peak area	0	protein normalized	uMol/g	26859.4226957711	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	658.772262883	natural abundance corrected peak area	0	protein normalized	uMol/g	2987.44661411736	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	15576.8426222	natural abundance corrected peak area	0	protein normalized	uMol/g	20611.969916129	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	73147.4258992	natural abundance corrected peak area	0	protein normalized	uMol/g	92003.9153767027	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	58230.602615	natural abundance corrected peak area	0	protein normalized	uMol/g	73227.9439821155	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	14574.8900494	natural abundance corrected peak area	0	protein normalized	uMol/g	24322.8870805134	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	13484.6769382	natural abundance corrected peak area	0	protein normalized	uMol/g	16793.587427867	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	7173.29179388	natural abundance corrected peak area	0	protein normalized	uMol/g	10290.9485275108	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	1919.50227748	natural abundance corrected peak area	0	protein normalized	uMol/g	5599.24716224308	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	9889.55035278	natural abundance corrected peak area	0	protein normalized	uMol/g	12771.5170742835	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	5231.18159113	natural abundance corrected peak area	0	protein normalized	uMol/g	7808.60026297352	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C4	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	10901.8032208	natural abundance corrected peak area	0	protein normalized	uMol/g	15471.8195682986	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	32447.4217307	natural abundance corrected peak area	0	protein normalized	uMol/g	31908.7165631424	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	19482.8328362	natural abundance corrected peak area	0	protein normalized	uMol/g	17528.012553811	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	487.083083173	natural abundance corrected peak area	0	protein normalized	uMol/g	542.547404548774	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	41390.9804173	natural abundance corrected peak area	0	protein normalized	uMol/g	38923.4806261649	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	4275.59897927	natural abundance corrected peak area	0	protein normalized	uMol/g	3934.84629119852	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	31898.0911011	natural abundance corrected peak area	0	protein normalized	uMol/g	29993.2732831477	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	84754.6794534	natural abundance corrected peak area	0	protein normalized	uMol/g	85413.1555108265	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	68888.8960125	natural abundance corrected peak area	0	protein normalized	uMol/g	69187.1466841269	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	23986.5528433	natural abundance corrected peak area	0	protein normalized	uMol/g	23562.0788839132	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	24010.0704083	natural abundance corrected peak area	0	protein normalized	uMol/g	22825.2302132463	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	10862.1084723	natural abundance corrected peak area	0	protein normalized	uMol/g	10647.1675795654	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	8205.14497208	natural abundance corrected peak area	0	protein normalized	uMol/g	7587.40965443743	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	13322.3024424	natural abundance corrected peak area	0	protein normalized	uMol/g	13153.710685188	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	5026.20021306	natural abundance corrected peak area	0	protein normalized	uMol/g	5344.86542250377	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C5	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	13403.8826547	natural abundance corrected peak area	0	protein normalized	uMol/g	13541.9116527116	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	37570.3699366	natural abundance corrected peak area	0	protein normalized	uMol/g	37105.0560506143	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	20481.9842915	natural abundance corrected peak area	0	protein normalized	uMol/g	20369.196269132	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	2994.64122376	natural abundance corrected peak area	0	protein normalized	uMol/g	2643.88766038213	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	43646.1296268	natural abundance corrected peak area	0	protein normalized	uMol/g	43531.7055232931	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	11906.4298818	natural abundance corrected peak area	0	protein normalized	uMol/g	10817.5060068708	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	36989.5829895	natural abundance corrected peak area	0	protein normalized	uMol/g	36416.7821358424	spectrometer peak area
Cytidine monophosphate N-acetylneuraminic acid-13C6	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	113195.10348	natural abundance corrected peak area	0	protein normalized	uMol/g	109971.373506776	spectrometer peak area
